t,N,Vx,Vy,Vz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz
1501054082.208307,0.1160761564970016,-2515.381591796875,821.2895507812500,1110.744384765625,7.814077163104116e-11,6.912645456047528e-11,7.025523218739949e-11,-4.999699439178773e-12,-3.544467453917011e-12,-1.085116371757344e-12
1501054082.238307,0.09577292203903198,-3912.378173828125,1867.248901367188,508.7736206054688,7.341326158094574e-11,5.944991721129611e-11,6.356688786457454e-11,-3.622355453786197e-12,-3.544290728962896e-12,5.422623613159094e-13
1501054082.268307,0.1143252551555634,-5139.520019531250,515.9642333984375,866.1185302734375,8.157587105817043e-11,6.517814760131913e-11,6.999122115214362e-11,-3.124988332339762e-12,-8.841761890243487e-15,-2.548883955462433e-13
1501054082.298307,0.1116010174155235,-3059.937255859375,2110.621337890625,869.5114746093750,8.209336682662993e-11,6.689956921768214e-11,6.918238898423468e-11,-4.755489838720317e-12,-1.817311709104152e-12,9.014015120260843e-13
1501054082.328307,0.1151839494705200,-1541.610717773438,1678.043090820312,-200.0612487792969,8.261698269951268e-11,7.312416644422726e-11,7.108929417354304e-11,-2.220291008339648e-12,-1.033798914529260e-12,7.640901800165523e-13
1501054082.358307,0.1023030057549477,-2200.980468750000,1341.127319335938,-212.7810516357422,8.103116788671372e-11,6.629043147743374e-11,6.654404804962155e-11,-4.823625006367127e-12,-1.463940839212252e-12,-5.487818722669721e-14
1501054082.388307,0.1041008681058884,-3072.975585937500,1640.137939453125,-958.2991333007812,7.918610211987698e-11,6.219132847595787e-11,6.322318363283230e-11,-4.323744053763567e-12,6.359124246060541e-14,-8.654053493782621e-13
1501054082.418307,0.1047862917184830,-1072.535400390625,1239.323486328125,557.0855712890625,8.299656101273811e-11,6.507403643718490e-11,6.822613307644332e-11,-1.926518406608624e-12,1.756304628640348e-12,2.455699272402301e-12
1501054082.448307,0.1151505559682846,-1645.073120117188,1306.580200195312,1002.958740234375,8.373248622239871e-11,6.523983436812486e-11,6.487321790871192e-11,-1.187291476072161e-12,2.878356190547104e-13,8.220868647282331e-13
1501054082.478307,0.1070537567138672,-1670.284912109375,962.3481445312500,1575.003784179688,7.573056765020070e-11,6.293914694976976e-11,6.674845398624285e-11,-5.156322417654291e-12,4.077623655396323e-13,1.047624660632795e-12
1501054082.508307,0.1149469390511513,-1061.776733398438,837.0404663085938,360.2780456542969,8.071072282733738e-11,6.710450944913404e-11,6.801745278117721e-11,-6.039870860397034e-12,2.254368349982605e-12,-6.871156746877938e-13
1501054082.538307,0.1129485219717026,-2839.351562500000,557.1110839843750,765.0611572265625,7.898126597183364e-11,5.831997385019605e-11,6.443161282287946e-11,-4.975602395373979e-12,2.049784387364584e-12,8.557632141976967e-13
1501054082.568307,0.1075526624917984,-2216.051025390625,1014.034240722656,-264.8407287597656,7.531535117788479e-11,5.667706928780269e-11,6.009337472079324e-11,-3.939636377542355e-12,-1.598129072653831e-12,-1.294408915990253e-12
1501054082.598307,0.1065599322319031,-3400.290283203125,915.8541259765625,12.90501117706299,7.677593283350603e-11,6.407763208926553e-11,6.537918123550313e-11,-6.790400273321007e-12,1.029245265404821e-12,-1.888336275540636e-12
1501054082.628307,0.1018252968788147,-4774.991210937500,1623.144409179688,-240.1076812744141,7.152164277490769e-11,5.729247284924632e-11,6.013792241965632e-11,-5.912046460027076e-12,1.313775043615406e-12,-2.028763875644435e-12
1501054082.658307,0.1060863360762596,-2692.987304687500,638.7446289062500,109.2447357177734,7.543905777840365e-11,6.480688208299057e-11,6.157978293952482e-11,-6.916803501483271e-12,6.611381906350411e-13,-2.565701557460942e-13
1501054082.688307,0.1042716130614281,-2198.262939453125,344.1795959472656,-57.37800216674805,7.511868210796635e-11,6.016841885836399e-11,5.716463413740769e-11,-8.719354231689902e-12,1.760657266682009e-12,-5.984675103577752e-13
1501054082.718307,0.1032745242118835,-3878.007812500000,1184.218383789062,-67.97384643554688,7.337468826973392e-11,6.309313488328527e-11,6.494809551282898e-11,-3.122417255307930e-12,2.008088357055571e-12,-5.392908884217784e-13
1501054082.748307,0.09676692634820938,-3089.105468750000,225.2658538818359,768.8309326171875,6.850253697621156e-11,5.878970227302105e-11,5.802935562626566e-11,-2.038411973936949e-12,3.468320465896402e-13,1.363057887046604e-13
1501054082.778307,0.09191198647022247,-1189.824218750000,-766.0441894531250,982.8740234375000,6.056591339564932e-11,5.771649130847933e-11,6.021961401758702e-11,-3.546542400034713e-12,-8.628276553250460e-15,1.047074956578818e-13
1501054082.808307,0.08453474938869476,-2847.665283203125,1179.051879882812,616.3477783203125,6.728341495065848e-11,5.815370407447062e-11,6.245502032209416e-11,-4.067261718393445e-12,-2.560287051811549e-13,3.113346169411613e-13
1501054082.838307,0.08831815421581268,-1187.459228515625,919.7088623046875,381.9384460449219,6.381466882698916e-11,6.186547107933649e-11,6.259649049100702e-11,4.031817197810983e-13,1.570768255049204e-13,8.257333076848450e-13
1501054082.868307,0.08894146978855133,-372.9102783203125,-547.1793212890625,931.6988525390625,5.855067125581925e-11,5.441317535437307e-11,5.766832844589231e-11,-7.910241472258717e-14,1.705952761867080e-12,1.200756833373562e-12
1501054082.898307,0.09114039689302444,-605.9932861328125,2004.833984375000,-44.31622314453125,6.287730058840424e-11,5.787345949692657e-11,6.088127918468800e-11,-3.962284927244708e-12,7.110510097385614e-13,1.913906316416969e-12
1501054082.928307,0.08671400696039200,-2594.959228515625,-1123.764526367188,219.2397766113281,5.716786072307301e-11,6.337137065104415e-11,5.645084746874751e-11,-2.969608283234781e-12,-3.769753335446796e-13,5.653285999052127e-13
1501054082.958307,0.09354224056005478,-1181.669067382812,1768.899414062500,231.8066253662109,6.218233566945841e-11,5.829312033078793e-11,6.085173337444516e-11,-6.397788250784089e-14,1.639040574270834e-12,2.280771871279036e-13
1501054082.988307,0.1017237901687622,31.77394294738770,953.2596435546875,255.0141448974609,6.339780089792413e-11,5.727174637315535e-11,6.016037668032936e-11,-4.511130618362058e-12,6.403247073197282e-13,-4.740439269422525e-13
1501054083.018320,0.09891983121633530,-2950.645996093750,853.8127441406250,-671.0153808593750,6.888637577029399e-11,6.523794698898300e-11,6.133939883801176e-11,-6.997570925482144e-12,1.367676263040740e-12,-4.397576324356028e-13
1501054083.048320,0.09970630705356598,-2615.649169921875,-955.6561889648438,-154.9026794433594,7.259461087816277e-11,6.411838421316318e-11,6.522421491794717e-11,-3.270936689905857e-12,1.397224892209226e-12,-1.966749246101740e-12
1501054083.078320,0.08670821040868759,-2572.823242187500,1317.707397460938,-948.5067749023438,6.542547753562999e-11,5.803011196570118e-11,6.024584303654379e-11,-1.852391937756659e-12,4.008179638886888e-12,-1.786701646008804e-12
1501054083.108320,0.08811183273792267,-2766.458496093750,1285.912963867188,-1238.952148437500,6.770600746719424e-11,6.147597708672237e-11,6.211778313947036e-11,-5.319763293071267e-12,3.803835718629855e-12,-3.176664009965635e-12
1501054083.138320,0.09223774820566177,-4665.673828125000,2000.019287109375,-306.2801513671875,7.413886865537123e-11,6.431729454581259e-11,6.377530448187230e-11,-7.519739171624185e-12,8.893592242861792e-13,3.081228577405531e-13
1501054083.168320,0.09242036193609238,-3553.233886718750,2776.767089843750,68.43226623535156,6.791120443772058e-11,6.125994156391812e-11,6.152824777450050e-11,1.109474491445273e-12,6.744882972455069e-13,6.768984786749421e-13
1501054083.198320,0.08519908040761948,-3764.204833984375,2821.496093750000,-858.7904052734375,6.481117031942318e-11,6.403581831460059e-11,6.552632048073548e-11,-1.065549341469629e-12,5.462012678085493e-13,2.611954706341346e-13
1501054083.228320,0.09615477919578552,-2365.662841796875,-58.90166091918945,552.1105346679688,6.716626560487882e-11,6.654311129894452e-11,6.645562572460406e-11,-5.042829001600246e-12,2.814342725879215e-12,-1.527698649007869e-12
1501054083.258320,0.08992066234350204,-1113.580566406250,-1103.928466796875,335.8010864257812,6.266757945905255e-11,6.513034556121511e-11,6.329843593722018e-11,-4.041201834975583e-12,4.940447465191788e-13,-1.353462155719021e-12
1501054083.288320,0.08823564648628235,-2014.207763671875,3217.956542968750,-1174.680786132812,7.021750542124394e-11,6.787686385179015e-11,6.944314567824961e-11,-2.840244315779894e-12,1.897383725829593e-12,-2.022409800392366e-12
1501054083.318320,0.09173732250928879,-2376.187744140625,898.4989013671875,-919.0562133789062,6.630563459397720e-11,6.644076955275580e-11,6.773700350626299e-11,-4.930379563818088e-13,-7.552498123425400e-13,-1.949753726526726e-12
1501054083.348320,0.08920793980360031,-1672.046875000000,2297.405517578125,171.3242950439453,6.579425892994095e-11,6.589834927739346e-11,6.441395333789401e-11,2.601436861066064e-12,-6.384236401254378e-14,1.653660281625280e-12
1501054083.378320,0.09423987567424774,-972.4050292968750,-107.1744003295898,-978.0287475585938,5.948495168661694e-11,7.144743130460540e-11,6.698362003954017e-11,2.590321403553308e-12,-1.652780776822960e-12,8.447972139544180e-13
1501054083.408320,0.1015476733446121,-188.6935729980469,1516.221069335938,-898.1563110351562,6.975954536247997e-11,6.421138620815725e-11,6.914721573103577e-11,7.720877431317830e-13,-8.800752552932944e-13,1.245881788578332e-13
1501054083.438320,0.09570888429880142,-1135.153930664062,-663.7976074218750,-897.8738403320312,6.997422086207905e-11,7.243527999634125e-11,7.106618765684303e-11,-1.928118038493909e-12,-2.901810532856576e-14,4.902182175817171e-13
1501054083.468320,0.08704631775617599,-2952.821044921875,930.6825561523438,-285.7498474121094,6.102707922339690e-11,6.891005821518803e-11,6.927700080261445e-11,-1.469275764422184e-12,1.400275295021514e-12,7.829206169008077e-14
1501054083.498320,0.09102486073970795,-1413.977294921875,1631.768310546875,109.7415390014648,6.354313603074146e-11,6.706540878198552e-11,6.586831080568345e-11,-4.535021663754080e-12,3.608544127571556e-13,-1.292096854857427e-13
1501054083.528320,0.08389995992183685,-1746.820800781250,159.4594268798828,554.9563598632812,6.497228449697801e-11,6.075502601010641e-11,6.182025030776472e-11,-1.264815292431609e-12,-2.405633743422786e-13,1.202590869768538e-12
1501054083.558320,0.08720033615827560,-2611.042480468750,908.9951171875000,-296.2935180664062,6.150092241030691e-11,6.231809512868836e-11,6.155640580596256e-11,1.093640084634355e-13,1.004263065393883e-13,1.050829236994011e-12
1501054083.588320,0.09718647599220276,-1942.462890625000,1151.853515625000,-52.39874267578125,6.423268167354834e-11,6.775473238018748e-11,6.494937226930730e-11,-2.707548269788307e-13,-8.489610652927942e-14,-7.566827481438054e-13
1501054083.618320,0.08841007947921753,-3236.358642578125,-92.31701660156250,-457.0234680175781,5.924354062880610e-11,6.169351834950376e-11,6.418461595547598e-11,-2.580910745536569e-13,3.184542202421675e-13,4.785973592262571e-13
1501054083.648320,0.09297311305999756,-2121.154785156250,35.46335983276367,-286.2062988281250,6.612214942247618e-11,6.411315228715964e-11,6.420195625134184e-11,1.540187140151861e-12,-1.419069397580464e-12,-2.155278776630465e-12
1501054083.678320,0.08914870023727417,-2532.925048828125,2592.740478515625,-755.8866577148438,6.861683443659672e-11,6.647250111457836e-11,6.590586409949140e-11,-1.018834214043529e-12,8.428975291178975e-13,5.617673752393582e-13
1501054083.708320,0.09533158689737320,-3001.644531250000,1554.266235351562,-60.35614776611328,6.629816140524269e-11,7.040351635012598e-11,6.654298639885425e-11,-2.011605671533440e-13,-2.143031981255775e-13,9.079990448759845e-13
